Question,Answer,clean_question
How long can it be off and maintain temperature in the fridge?,"I'm sorry dear, but I didn't purchase this fridge to experiment with it, I need it to keep my two insulins cool. Why would you need to turn it off? Are you transporting foods? Perhaps you should check out the DC switch and whether there is a transformer adapter you could use in the car. That's only a guess, since I use this for home use (A/C) only. I hope this helps you.",how long can it be off and maintain temperature in the fridge
how tall does the passion flower grow?,"This is a vine that needs support, like a trellis. It will send out runners that climb and twine. So as big as your trellis is, it will grow and you will weave new growth in.",how tall does the passion flower grow
can I use the homelink,"No. What I had to do was get a homelink receiver, or carry a remote with you in the car.",can i use the homelink
"does it ""sweat"" as it warms up?","No, it doesn't sweat, I don't think it stays cold enough long enough to sweat.",does it sweat as it warms up
Does this come with glue and paint?,"Hello Alysa, no it does not. For beginners, you can get a tube of glue (or model cement as it is called in the hobby) at like, Michaels for about $3. Also if you want a nice starter kit of paints, they have a set of I think 8 colors that will get you started. Be sure to get the car paint kit and not the military (different colors). Have fun with the hobby, I love It and I hope you do too.",does this come with glue and paint
will this product work for live plants in the tank?,"Unlikely, unless you plan on keeping plants that thrive in low light. This light is primarily for fish only tanks, and you'll need two side by side to obtain sufficient light.",will this product work for live plants in the tank
I need a 220 volts machine. Does it have to sell? Is it possible to use an adaptor?,....I need to know this question too as i might move to the UK at some point and they use 220!,i need a 220 volts machine does it have to sell is it possible to use an adaptor
I'm not sure if I should buy my 9 year old a junior size or adult size? Any ideas?,"Get your 9 year old junior size, because they'll fit better and will look better then oversize one on tiny wrist's, elbow's and knee's.",im not sure if i should buy my 9 year old a junior size or adult size any ideas
"Is the hinge a ""floating"" hinge or stationary?","Floating hinge, the 2 heating plates adjust to the thickness of food being cooked. One item of interest is that the 2 plates doesn't float far apart for real thick items like porterhouse steak cut 1 inch or more thick. Hamburgers and other meats work great, the heat seems to be fairly even but the food will burn quickly because there is no timer or heat control so you must watch vey carefully to keep from burning food. All in all it is a very good unit. My sugestin to the designers, design the floating 2 plates where they will float apart up to 11/2 or maybe 2 inches apart then would be ideal for thick steaks, steaks cooked on the unit are very tasty. Bill C",is the hinge a floating hinge or stationary
Where could I go to look at it ?,You can view in person at: KT Motorsports 16225 Walnut St Hesperia Ca 92345You may also order online at: www.ktmotorsports.com,where could i go to look at it
do i need a modem with this? or can i just connect my computer and game systems to this?,You need a modem to feed into the router. Then your computer and game systems are wired to the router.,do i need a modem with this or can i just connect my computer and game systems to this
Is this battery operated only? Or can it be plugged in?,"this one can be plugged in also, that's why i got it... so glad i did, great for traveling and plugging in... have yet to need batteries",is this battery operated only or can it be plugged in
is this phone unlocked and will it work with nay gsm network? I am going to malawi if anyone has personal experience with that one.,Actually this phone did surprisingly well on straight talk wireless. Can't see a reason it wouldn't do well for your trip.,is this phone unlocked and will it work with nay gsm network i am going to malawi if anyone has personal experience with that one
"I got the LCV 9015 used. LVC 9016 at first would say fail on blanc discs. Then I found discs that it would accept, and it recorded beautifully. Recently I started getting a long read, then a long preparing, and finally a ""fail"" message on discs that...","I also bought a Lite-On, LVC-9016 and used for many years without any problem. It was so simple to use and recorded beautifully. Like you, I started having tape FAILURE when I put in a blank disc. At the time I was using Imation DVD discs reccommended by Lite-On. It was DVD-R. When this failed, I tried an Imation DVD+R disc and this worked for a while. I didn't think a - or a + made any difference, but at that time it did. This eventually stopped working and I was fortunate enough recently to find the same machine (used) on the internet and bought it since it had a 4 1/2 out of 5 rating. I am presently using it without any problems.",i got the lcv 9015 used lvc 9016 at first would say fail on blanc discs then i found discs that it would accept and it recorded beautifully recently i started getting a long read then a long preparing and finally a fail message on discs that
